No;Sequence;Prallel;ParallelMutex;ParallelOmp;ParallelOmpCrit
1;484;201;184;161;165
2;477;163;181;153;163
3;481;212;182;157;160
4;480;182;191;163;159
5;470;179;193;158;163
6;470;182;195;167;161
7;476;205;203;163;161
8;482;206;224;184;158
9;472;195;210;162;180
10;480;174;195;166;162
11;477;181;201;172;164
12;477;209;189;164;168
13;466;195;185;160;166
14;470;184;174;150;174
15;470;196;196;181;183
16;477;242;163;163;164
17;470;185;241;157;181
18;478;226;196;173;166
19;474;207;262;161;173
20;474;200;171;185;166
21;496;184;240;164;181
22;480;171;177;157;162
23;489;200;181;162;161
24;479;181;207;159;159
25;476;214;212;196;155
26;479;196;191;182;158
27;482;211;230;186;161
28;472;185;244;182;181
29;472;211;216;162;157
30;476;219;206;162;153
31;471;167;179;165;183
32;475;163;227;159;162
33;480;211;161;164;168
34;481;236;178;164;175
35;482;183;214;161;158
36;478;180;163;163;178
37;479;193;178;175;158
38;497;208;203;156;157
39;476;214;213;156;160
40;473;194;224;164;161
41;473;209;192;177;166
42;469;162;163;160;167
43;474;198;176;166;158
44;491;168;175;165;158
45;472;165;161;167;165
46;481;167;166;180;167
47;477;165;196;162;166
48;477;194;156;179;156
49;480;226;229;176;156
50;481;172;195;163;158
